"date","temp_high","temp_low","temp_hum","temp_rain","temp_sun","temp_cloud"
2017-01-01,6.9,-1.6,75.9,NA,1.7,7
2017-01-02,9.2,1.8,77.8,0.3,2.7,7.6
2017-01-03,7.7,-2.3,61.8,NA,8.9,1.1
2017-01-04,8.9,1,55,NA,8.6,2.6
2017-01-05,7.3,-0.1,52.3,NA,0,8.4
2017-01-06,11.4,2.5,58.5,NA,6,4.1
2017-01-07,10.5,0,64.9,NA,7,3
2017-01-08,10.9,4,61.4,0,2.9,8.1
2017-01-09,4.3,-3.1,60.8,0,6.2,4.3
2017-01-10,1.1,-7.4,45.1,NA,9.1,0.8
2017-01-11,1.5,-9.4,36.4,NA,9.2,1.9
2017-01-12,1,-6.1,43.1,0,8.6,2.1
2017-01-13,-1.4,-8.6,47.4,0.6,5.6,1.8
2017-01-14,-5.4,-10.5,33.3,NA,9.2,0
2017-01-15,-0.9,-11.5,35.3,NA,9.2,0
2017-01-16,4,-8.9,37.6,NA,9.2,0.1
2017-01-17,3.4,-7.1,46.6,NA,8.6,4.4
2017-01-18,2.8,-3,68.9,0,1.9,4
2017-01-19,4.7,-4.9,55.4,NA,8.1,6.3
2017-01-20,-1.4,-7.8,70.3,4,6,4.8
2017-01-21,-0.9,-10,78.1,2.1,3.3,5.3
2017-01-22,-3.3,-10.9,51.3,0,9.1,0
2017-01-23,-4.1,-12.6,48.4,NA,9.4,0
2017-01-24,-1.3,-11.6,49.6,NA,9.4,0
2017-01-25,0.9,-10.2,50.6,NA,9.5,0
2017-01-26,3.4,-7.9,64.4,0.3,5.7,6.9
2017-01-27,3.1,-5.7,47.3,3,9.2,1.6
2017-01-28,4.3,-8.2,38,NA,7.8,6.6
2017-01-29,2.5,-0.9,71.1,4.5,0,9.6
2017-01-30,-0.9,-7.9,61.4,0.1,8.7,2.9
2017-01-31,0.2,-9.9,44.8,NA,8.2,3.1
2017-02-01,0.7,-7.5,44.5,NA,9.5,1.4
2017-02-02,3.3,-9.2,52.9,NA,9.6,1.3
2017-02-03,6.7,-2.3,65.4,NA,9.2,2.3
2017-02-04,3.2,-2.9,69.4,NA,1,7
2017-02-05,2.3,-1.5,75.3,0.5,0,7.3
2017-02-06,2.6,-4.4,51,NA,9.8,0
2017-02-07,3,-5.6,45.4,NA,4.1,5.3
2017-02-08,0.6,-4.9,50.1,NA,1.2,6.8
2017-02-09,-2.1,-7.1,47,NA,8.8,1.5
2017-02-10,-2.5,-9.3,44.3,NA,9.6,0.9
