"titles","pros","cons","toceo"
"""좋은 워라벨을 보장하는 훌륭한 문화의 기업이고 최고의 복지를 자랑한다""","휴가 마음대로 쓸 수 있음. 복지 최고. 연봉 준수함. 인센티브 매년 나옴. 교육기회 다양하고 서로 존중하는 문화","통신시장이 줄어들고 있어서 미래비전이 밝지 않으며 신사업 발굴에 계속 실패하는 중","새로운 성장동력을 빨리 찾아서 기업이 더 커나갈 수 있도록 해주면 좋겠다"
"""좋은 동료들과 상호작용하며 얻는 것이 많음""","합리적이고자 노력하는 기업문화, 철저한 신입 채용을 거쳐 뽑힌 좋은 동료들, 안정적인 수익구조가 주는 안정감","모바일 시대에 대응이 느려서 지난 시간동안 많은 좋은 기회들을 놓친 것","잘 보이려하기보다 진짜 일을 해내는 훌륭한 동료들이 지치지 않게 잘 끌어주시고 응원해주세요!"
"""훌륭한 스펙의 동료들과 수평적인 분위기 속에서 일할 수 있는 곳""","급여가 높고, SK그룹 내에서 복지도 매우 좋은 편이다.","불필요한 회의를 위한 보고서를 작성해야 하는 경우가 많다.","임원들을 위한 불필요한 보고서 문화 폐지를 통해 업무 효율화"
"""대기업답게 몸이 편하고 복지혜택이 잘 되있으나 잦은 조직개편과 t타워내 인사이동이 심함""","사업기반이 안정적이고 복지 및 각종 서비스와 혜택, 지원사업이 잘 되어있음 자율출퇴근","기업문화 자체는 개방적이나 팀장위주의 수직적 문화는 어쩔수없는듯","인사이동이 잦은 부서는 문제의 원인을 파악해 해결해주었으면 좋겠음"
"""오르진 않지만 통신업계 중 연봉은 상위
기업문화도 나쁘지 않음""","자율퇴근제가 좋고
구내식당도있음
을지로에 있어 주변 근무환경도 좋음","업무가 년단위로 바뀌는 경향이 있어 스페셜리스트가 되기에는 한계가 존재","음..의사결정 시 올 한해가 아닌 장기적인 관점에서 의사결정 해주시길"
"""업계내 탑티어 연봉 수평적 조직문화 미래먹거리는 과연?""","수평적인 사무실 분위기 높은 초봉에 자부심 느끼며 다닐만함","큰 불만 없이 다녔으나 여자들은 확실히 승진에서 밀리는 경향 있음","신규사업에 좀 더 비전을 갖고 투자를 했으면 좋겠음. 사업구조 개편도 필요"
"""복지와 처우가 좋은 회사로 안정적으로 다닐 수 있는 회사 입니다.""","좋은 복지와 비교적 높은 연봉에 자율 출퇴근이 가능한 회사 입니다.","부서와 조직마다 업무 환경이 조금씩 다르며, 업무 강도도 심한 곳과 덜한 곳 차이가 큽니다.","업무 환경과 업무 강도가 밸런스 가능하도록 회사 차원에서 추진했으면 합니다."
"""워라밸이 좋아 저녁에 개인 시간을 가질수있음. 복지도 좋음.""","근무유연으로 워라밸이 좋습니다. 자유롭게 다닐 수 있는 장점이 있습니다.","팀마다 팀장님마다 분위기가 달라짐. 약간 독재적인 면이 있음.","구내식당이 있으나 좀 더 맛에 신경쓰면 좋겠습니다....."
"""업무강도 낮고 복지가 좋아서 오래다니기 좋은 곳입니다
근속 연수가 길고 내부 경쟁도 타 회사만큼 치열하진 않아서 경력직 분들이 오시면 만족하는 듯 합니다.""","기업문화가 유연하고 수평적인 편입니다
대부분 팀원들을 함께 안고가는 분위기라서 너무 모나거나 튀지 않으면 무난하게 다니는 것 같습니다.
연봉도 대기업 중에서도 높은 편이고 안정적인 회사라서 국내 직장 중에서는 몇 없는 좋은 직장 입니다","산업이 다소 정체되어있다보니 내부에 일로서 성장할 수 있는 기회가 매우 적고 분위기도 다소 보수적인 공무원 문화라고 할 수 있습니다.
팀에 따라 야근이 심한 부서도 있고 정치가 매우 심한 곳도 있으나 이 정도는 다른 기업도 비슷할 듯 합니다.","보수적인 사내 문화를 바꿔서 보다 활력있는 분위기를 만들어야 향후에도 지속적으로 좋은 인력들이 투입되어 장기적으로 성장하는 회사가 될 것 같습니다"
"""새로운 일을 할 기회가 많지 않은 곳. 기획은 중요하나 실행이나 운영업무의 중요성은 간과되고 있어 상품서비스들이 살아남기 어려움""","복지, 연봉, 나쁘지 않은 문화(그러나 아직도 개선의 여지는 많음)","보고서작성이 실무보다도 더 중요한 업무처럼 여겨짐
인수인계절벽, 조직간 사일로, 커리어유지 어려움","서비스 런칭후에 육성을 위한 노력과 시간이 필요하다는 점을 인지해야한다."
"""대기업의 경직된 환경과 스타트업의 활기를 동시에 느꼈음""","TF팀의 아르바이트였는데, 팀원들이 인격적으로 대해주심.
점심값이 거의 안 들었음.
지하철 역과 가깝고, 교통편이 좋음.","팀원 외 사무실에 근무하는 직원분들과는 거의 이야기를 안 함.
조금 삭막했음.","직원들은 수평적 문화인데, 임원진들은 그렇지 않아 보임."
"""비교적 수평적 사내 분위기 소통이 가능한 곳, 복지 탄탄""","대기업, 복지 좋음, 자유로운 사내 분위기, 계약직 차별 적음","업무 강도 빡 쎔(정규직 기준), 개노답인 리더 몇명 있음","개노답 리더들 좀 어케 걸러봐요.... 그리고 지역 본부도 좀 돌아보길..."
