cust_id,gender,age,work_yn
C10001,2,44,0
C10002,1,44,1
C10003,2,67,0
C10004,1,64,0
C10005,2,47,1
C10006,1,29,0
C10007,1,53,1
C10008,1,28,0
C10009,1,48,1
C10010,1,41,1
C10011,2,28,0
C10012,1,76,1
C10013,2,70,1
C10014,1,49,1
C10015,1,71,0
C10016,2,29,0
C10017,1,47,1
C10018,2,46,1
C10019,2,73,0
C10020,1,56,1
C10021,2,22,0
C10022,2,22,0
C10023,2,44,1
C10024,2,62,1
C10025,2,24,0
C10026,2,81,1
C10027,1,26,0
C10028,1,68,1
C10029,2,29,0
C10030,2,60,1
C10031,2,37,0
C10032,1,41,1
C10033,1,33,0
C10034,2,37,1
C10035,1,40,1
C10036,2,85,1
C10037,1,68,1
C10038,2,45,1
C10039,2,79,1
C10040,2,29,0
C10041,1,24,1
C10042,2,38,1
C10043,1,54,1
C10044,2,45,1
C10045,2,36,1
C10046,2,67,1
C10047,1,36,1
C10048,1,43,1
C10049,1,34,1
C10050,2,63,1
C10051,2,70,0
C10052,1,26,0
C10053,2,43,0
C10054,1,55,1
C10055,2,37,1
C10056,2,74,0
C10057,1,23,0
C10058,1,59,1
C10059,1,38,1
C10060,2,43,1
C10061,2,50,0
C10062,2,65,1
C10063,2,44,1
C10064,1,50,1
C10065,2,46,1
C10066,1,73,0
C10067,2,60,1
C10068,1,58,1
C10069,2,32,1
C10070,1,65,1
C10071,2,62,0
C10072,2,52,1
C10073,1,57,1
C10074,1,64,1
C10075,1,81,1
C10076,1,42,0
C10077,2,60,0
C10078,2,25,0
C10079,2,57,1
C10080,2,74,0
C10081,2,65,1
C10082,1,57,1
C10083,2,55,1
C10084,2,37,0
C10085,2,52,0
C10086,1,61,1
C10087,1,51,1
C10088,1,63,1
C10089,2,42,0
C10090,2,59,0
C10091,2,55,1
C10092,1,65,1
C10093,2,59,1
C10094,2,45,1
C10095,2,54,1
C10096,2,59,1
C10097,2,64,1
C10098,1,40,1
C10099,2,33,1
C10100,1,64,0
C10101,2,46,1
C10102,2,43,0
C10103,1,66,0
C10104,1,28,0
C10105,1,43,1
C10106,1,40,1
C10107,2,55,1
C10108,2,39,1
C10109,1,22,0
C10110,1,62,1
C10111,2,72,0
C10112,2,51,1
C10113,1,59,1
C10114,1,38,1
C10115,2,51,1
C10116,2,43,1
C10117,1,56,1
C10118,2,33,1
C10119,1,59,1
C10120,2,39,1
C10121,2,69,0
C10122,1,30,1
C10123,2,48,1
C10124,1,70,1
C10125,2,57,1
C10126,1,63,1
C10127,1,27,0
C10128,1,39,1
C10129,2,56,1
C10130,1,30,1
C10131,2,28,1
C10132,1,59,1
C10133,1,35,1
C10134,2,26,0
C10135,2,54,0
C10136,2,59,1
C10137,2,54,1
C10138,1,40,1
C10139,2,28,0
C10140,1,36,1
C10141,1,54,1
C10142,2,71,0
C10143,1,29,0
C10144,1,69,0
C10145,1,25,0
C10146,1,58,0
C10147,2,52,1
C10148,2,66,0
C10149,1,22,0
C10150,1,33,0
C10151,1,34,1
C10152,1,26,0
C10153,1,28,0
C10154,1,30,0
C10155,1,31,1
C10156,2,42,0
C10157,1,87,1
C10158,2,24,0
C10159,1,40,1
C10160,1,51,1
C10161,1,24,0
C10162,2,26,0
C10163,2,59,1
C10164,2,37,0
C10165,2,52,1
C10166,2,80,0
C10167,1,22,0
C10168,1,40,1
C10169,1,64,0
C10170,1,47,0
C10171,1,56,1
C10172,2,29,0
C10173,2,79,0
C10174,2,56,1
C10175,1,39,0
C10176,1,41,0
C10177,2,66,0
C10178,1,49,1
C10179,1,51,1
C10180,1,42,1
C10181,2,71,0
C10182,1,56,1
C10183,1,61,0
C10184,1,63,1
C10185,1,57,1
C10186,1,24,0
C10187,2,57,0
C10188,2,70,1
C10189,2,64,1
C10190,1,35,1
C10191,2,33,1
C10192,1,47,1
C10193,1,23,0
C10194,2,50,1
C10195,1,65,1
C10196,2,69,0
C10197,2,36,1
C10198,2,79,0
C10199,1,52,1
C10200,2,84,1
C10201,1,33,0
C10202,1,52,1
C10203,1,63,1
C10204,2,48,1
C10205,2,39,1
C10206,1,64,1
C10207,2,43,1
C10208,2,65,1
C10209,1,66,1
C10210,2,25,0
C10211,1,38,1
C10212,2,71,0
C10213,1,62,1
C10214,2,53,0
C10215,2,54,1
C10216,1,59,1
C10217,2,32,0
C10218,1,31,1
C10219,2,67,0
C10220,1,40,1
C10221,2,26,0
C10222,1,63,1
C10223,1,47,1
C10224,2,33,1
C10225,1,46,1
C10226,2,51,0
C10227,1,59,1
C10228,2,68,1
C10229,2,52,0
C10230,1,36,1
C10231,1,48,1
C10232,2,50,1
C10233,1,36,1
C10234,2,41,1
C10235,1,30,0
C10236,2,52,1
C10237,2,45,1
C10238,1,45,1
C10239,1,26,0
C10240,2,48,1
C10241,2,47,1
C10242,1,41,0
C10243,2,31,0
C10244,1,49,1
C10245,1,70,0
C10246,1,36,1
C10247,1,32,1
C10248,2,28,0
C10249,1,29,1
C10250,2,64,1
C10251,2,46,0
C10252,2,65,1
C10253,2,40,1
C10254,2,68,1
C10255,2,21,0
C10256,1,59,0
C10257,2,43,0
C10258,2,33,0
C10259,2,36,1
C10260,2,62,1
C10261,1,46,1
C10262,2,81,1
C10263,2,78,1
C10264,2,65,1
C10265,2,64,1
C10266,1,21,0
C10267,2,44,0
C10268,2,79,1
C10269,1,35,1
C10270,1,36,1
C10271,1,59,1
C10272,1,56,1
C10273,1,22,0
C10274,2,23,0
C10275,1,24,0
C10276,1,21,0
C10277,2,55,1
C10278,1,31,1
C10279,1,23,1
C10280,2,43,1
C10281,1,37,0
C10282,1,29,0
C10283,2,40,1
C10284,2,60,1
C10285,1,37,1
C10286,2,31,1
C10287,2,73,1
C10288,2,69,1
C10289,2,24,0
C10290,2,39,1
C10291,1,49,1
C10292,1,33,0
C10293,2,30,1
C10294,2,50,0
C10295,1,32,1
C10296,1,41,1
C10297,2,84,0
C10298,1,41,1
C10299,1,55,1
C10300,1,64,1
C10301,2,24,0
C10302,2,46,1
C10303,2,70,1
C10304,2,56,1
C10305,1,47,1
C10306,2,44,0
C10307,2,42,0
C10308,1,62,1
C10309,1,33,0
C10310,2,38,1
C10311,1,30,0
C10312,1,37,1
C10313,1,48,1
C10314,2,30,0
C10315,2,64,1
C10316,2,89,0
C10317,1,49,1
C10318,1,41,1
C10319,1,72,1
C10320,2,55,0
C10321,1,40,1
C10322,2,25,0
C10323,2,48,1
C10324,1,32,0
C10325,1,52,1
C10326,1,40,1
C10327,2,61,1
C10328,1,54,1
C10329,1,23,0
C10330,2,40,1
C10331,1,72,0
C10332,2,44,1
C10333,2,28,0
C10334,1,34,1
C10335,2,20,0
C10336,2,47,1
C10337,2,81,0
C10338,1,50,1
C10339,1,66,1
C10340,1,50,1
C10341,1,61,1
C10342,2,24,0
C10343,2,26,0
C10344,2,57,1
C10345,2,43,0
C10346,1,62,1
C10347,2,50,1
C10348,2,67,0
C10349,1,57,1
C10350,1,46,1
C10351,2,30,0
