"date","open","high","low","close","stock"
2018-12-03,42750,43400,42400,43250,"삼성전자"
2018-12-04,42650,42900,41900,42150,"삼성전자"
2018-12-05,40900,41750,40850,41450,"삼성전자"
2018-12-06,40600,41100,40450,40500,"삼성전자"
2018-12-07,40900,41400,40850,40950,"삼성전자"
2018-12-10,40450,40650,40000,40200,"삼성전자"
2018-12-11,40600,40700,40200,40250,"삼성전자"
2018-12-12,40250,40700,40150,40450,"삼성전자"
2018-12-13,40650,40750,40000,40000,"삼성전자"
2018-12-14,40200,40200,38700,38950,"삼성전자"
2018-12-17,38650,39600,38650,39150,"삼성전자"
2018-12-18,38300,39200,38300,38900,"삼성전자"
2018-12-19,38900,39350,38850,39100,"삼성전자"
2018-12-20,38600,39100,38500,38650,"삼성전자"
2018-12-21,38200,38650,38100,38650,"삼성전자"
2018-12-24,38500,39050,38300,38800,"삼성전자"
2018-12-26,38400,38750,38300,38350,"삼성전자"
2018-12-27,38700,38800,38100,38250,"삼성전자"
2018-12-28,38250,38900,38200,38700,"삼성전자"
2018-12-03,104000,107000,103500,105500,"삼성물산"
2018-12-04,106000,108000,105000,106000,"삼성물산"
2018-12-05,104000,106000,104000,105000,"삼성물산"
2018-12-06,106000,106000,103000,103500,"삼성물산"
2018-12-07,104000,106000,104000,105500,"삼성물산"
2018-12-10,104500,105500,103500,104500,"삼성물산"
2018-12-11,109000,110000,105500,108000,"삼성물산"
2018-12-12,108000,109500,107000,108000,"삼성물산"
2018-12-13,108500,111500,108000,110000,"삼성물산"
2018-12-14,107000,108000,106000,108000,"삼성물산"
2018-12-17,108500,109000,107000,108500,"삼성물산"
2018-12-18,108000,110000,106500,109500,"삼성물산"
2018-12-19,109500,110000,108000,108500,"삼성물산"
2018-12-20,108000,108500,106500,107500,"삼성물산"
2018-12-21,108000,108500,106500,107500,"삼성물산"
2018-12-24,107000,108000,106500,107000,"삼성물산"
2018-12-26,105500,106500,102500,103500,"삼성물산"
2018-12-27,104000,105000,103000,104500,"삼성물산"
2018-12-28,104500,106500,104500,105500,"삼성물산"
2018-12-03,289500,289500,282000,282000,"SK텔레콤"
2018-12-04,281500,282500,277500,278000,"SK텔레콤"
2018-12-05,281500,285000,278000,282000,"SK텔레콤"
2018-12-06,284500,290000,282500,287500,"SK텔레콤"
2018-12-07,286000,286500,283000,283000,"SK텔레콤"
2018-12-10,282000,289500,279000,283500,"SK텔레콤"
2018-12-11,284000,288500,282000,287500,"SK텔레콤"
2018-12-12,288000,288000,281000,283000,"SK텔레콤"
2018-12-13,281500,282500,278000,280000,"SK텔레콤"
2018-12-14,280000,283000,278500,280000,"SK텔레콤"
2018-12-17,277500,281000,276000,277000,"SK텔레콤"
2018-12-18,277000,279500,267000,270000,"SK텔레콤"
2018-12-19,271000,278500,270500,273000,"SK텔레콤"
2018-12-20,275000,275500,265500,273000,"SK텔레콤"
2018-12-21,273000,277000,270000,276000,"SK텔레콤"
2018-12-24,276000,279000,272500,276000,"SK텔레콤"
2018-12-26,273500,275000,266500,269000,"SK텔레콤"
2018-12-27,262000,268500,258000,266000,"SK텔레콤"
2018-12-28,265500,273000,262500,269500,"SK텔레콤"
2018-12-03,130500,130500,125000,126000,"NAVER"
2018-12-04,127500,127500,122500,123500,"NAVER"
2018-12-05,124500,127000,123000,125000,"NAVER"
2018-12-06,123000,124000,119500,120000,"NAVER"
2018-12-07,121500,123500,119500,121000,"NAVER"
2018-12-10,119000,121500,117500,119000,"NAVER"
2018-12-11,120000,123500,117500,123000,"NAVER"
2018-12-12,124000,126000,122500,124500,"NAVER"
2018-12-13,125500,125500,123000,124000,"NAVER"
2018-12-14,123500,124000,121500,123500,"NAVER"
2018-12-17,124000,124000,120500,122000,"NAVER"
2018-12-18,120500,124000,120000,122000,"NAVER"
2018-12-19,123000,128500,122500,127500,"NAVER"
2018-12-20,125500,128000,123500,127000,"NAVER"
2018-12-21,127000,127000,121000,121500,"NAVER"
2018-12-24,122000,124500,121000,123000,"NAVER"
2018-12-26,121000,122000,117500,119000,"NAVER"
2018-12-27,120500,123000,118500,122500,"NAVER"
2018-12-28,122500,123000,120500,122000,"NAVER"
2018-12-03,183000,185000,180000,181500,"현대모비스"
2018-12-04,183000,183500,177000,179500,"현대모비스"
2018-12-05,177500,179500,176000,177000,"현대모비스"
2018-12-06,177500,180500,174000,179000,"현대모비스"
2018-12-07,180000,182000,177500,181000,"현대모비스"
2018-12-10,177000,181000,175500,180000,"현대모비스"
2018-12-11,178000,180000,174500,177500,"현대모비스"
2018-12-12,180000,195000,179000,193500,"현대모비스"
2018-12-13,194000,203500,192000,201000,"현대모비스"
2018-12-14,201000,201000,196500,199000,"현대모비스"
2018-12-17,203000,203500,194500,201000,"현대모비스"
2018-12-18,201000,201500,198500,2e+05,"현대모비스"
2018-12-19,201500,207000,198500,205500,"현대모비스"
2018-12-20,2e+05,202500,196500,2e+05,"현대모비스"
2018-12-21,194000,196500,193000,195000,"현대모비스"
2018-12-24,195000,198500,194000,197000,"현대모비스"
2018-12-26,193500,194000,185500,190000,"현대모비스"
2018-12-27,189000,193000,186500,188500,"현대모비스"
2018-12-28,188500,192500,188500,190000,"현대모비스"
2018-12-03,41650,42000,41350,41650,"신한지주"
2018-12-04,41600,42300,41550,42150,"신한지주"
2018-12-05,42050,42450,41500,42250,"신한지주"
2018-12-06,42050,42150,41700,41850,"신한지주"
2018-12-07,41800,41900,41300,41300,"신한지주"
2018-12-10,40650,40700,39700,39950,"신한지주"
2018-12-11,39550,39850,39300,39700,"신한지주"
2018-12-12,39700,40050,39350,39950,"신한지주"
2018-12-13,40050,40500,39900,39950,"신한지주"
2018-12-14,40100,40800,40050,40400,"신한지주"
2018-12-17,39800,41050,39800,40550,"신한지주"
2018-12-18,40600,41050,40400,40900,"신한지주"
2018-12-19,40900,41100,40500,40950,"신한지주"
2018-12-20,40750,41050,40400,40850,"신한지주"
2018-12-21,40900,41450,40550,41400,"신한지주"
2018-12-24,41350,41700,40750,41250,"신한지주"
2018-12-26,40800,40950,40100,40300,"신한지주"
2018-12-27,39200,39600,38950,39050,"신한지주"
2018-12-28,39150,39700,39100,39600,"신한지주"
2018-12-03,1188000,1212000,1173000,1200000,"LG생활건강"
2018-12-04,1187000,1203000,1180000,1190000,"LG생활건강"
2018-12-05,1178000,1202000,1175000,1189000,"LG생활건강"
2018-12-06,1210000,1210000,1145000,1160000,"LG생활건강"
2018-12-07,1159000,1165000,1133000,1139000,"LG생활건강"
2018-12-10,1139000,1165000,1130000,1162000,"LG생활건강"
2018-12-11,1150000,1175000,1150000,1151000,"LG생활건강"
2018-12-12,1155000,1156000,1132000,1148000,"LG생활건강"
2018-12-13,1155000,1164000,1142000,1160000,"LG생활건강"
2018-12-14,1166000,1179000,1153000,1158000,"LG생활건강"
2018-12-17,1157000,1163000,1141000,1149000,"LG생활건강"
2018-12-18,1148000,1157000,1139000,1150000,"LG생활건강"
2018-12-19,1155000,1163000,1148000,1152000,"LG생활건강"
2018-12-20,1147000,1147000,1110000,1124000,"LG생활건강"
2018-12-21,1121000,1121000,1087000,1091000,"LG생활건강"
2018-12-24,1086000,1094000,1075000,1082000,"LG생활건강"
2018-12-26,1063000,1092000,1062000,1073000,"LG생활건강"
2018-12-27,1075000,1095000,1065000,1081000,"LG생활건강"
2018-12-28,1082000,1111000,1077000,1101000,"LG생활건강"
